code;name;descr
BE;Belgium;Kingdom of Belgium
NL;Netherlands;Kingdom of the Netherlands
DE;Germany;Federal Republic of Germany
FR;France;French Republic
US;United States;United States of America
GB;United Kingdom;United Kingdom of Great Britain and Northern Ireland
